0	74670080
1	75141120
2	76881920
3	76353536
4	76353536
5	76881920
6	76881920
7	76881920
8	76353536
9	76881920
10	76353536
11	76881920
12	76881920
13	76881920
14	76881920
15	76353536
16	76353536
17	76353536
18	76353536
19	76881920
20	76353536
21	76881920
22	76881920
23	76881920
24	76881920
25	76881920
26	76353536
27	76353536
28	76881920
29	76603392
30	76222464
31	77271040
32	77271040
33	77271040
34	77271040
35	77271040
36	77799424
37	77799424
38	77799424
39	77271040
40	77271040
41	77271040
42	77271040
43	77271040
44	77799424
45	77799424
46	77799424
47	77799424
48	77271040
49	77271040
50	77271040
51	77271040
52	77271040
53	77271040
54	77271040
55	77271040
56	77271040
57	77271040
58	77799424
59	78848000
60	78319616
61	78848000
62	78848000
63	78848000
64	78848000
65	78319616
66	78319616
67	78319616
68	78848000
69	78848000
70	78848000
71	78848000
72	78319616
73	78319616
74	78319616
75	78319616
76	78319616
77	78319616
78	78319616
79	78319616
80	78848000
81	78848000
82	78848000
83	78319616
84	78319616
85	78319616
86	78319616
87	78319616
88	78848000
89	78319616
90	78848000
91	78848000
92	78848000
93	78319616
94	78319616
95	78319616
96	78848000
97	78319616
98	78319616
99	78848000
100	78319616
101	78319616
102	78848000
103	78319616
104	78319616
105	78848000
106	78848000
107	78848000
108	78319616
109	78319616
110	78319616
111	78319616
112	78319616
113	78848000
114	78319616
115	78852096
116	79912960
117	79912960
118	78852096
119	80429056
120	80429056
121	80429056
122	80429056
123	80429056
124	79900672
125	79900672
126	78852096
127	79900672
128	80429056
129	79900672
130	79900672
131	79900672
132	79900672
133	79900672
134	80429056
135	79900672
136	79900672
137	79900672
138	80429056
139	80429056
140	79900672
141	79900672
142	79900672
143	79900672
144	79900672
145	79900672
146	79900672
147	79900672
148	80429056
149	79900672
150	79900672
151	80429056
152	79900672
153	80429056
154	79900672
155	80429056
156	79900672
157	80429056
158	79900672
159	80429056
160	79900672
161	79900672
162	78852096
163	79900672
164	78852096
165	79376384
166	78852096
167	79900672
168	78852096
169	80429056
170	79380480
171	79900672
172	80429056
173	80429056
174	79900672
175	79900672
176	79900672
177	79900672
178	79900672
179	80429056
180	79900672
181	80429056
182	79900672
183	79900672
184	79900672
185	79900672
186	80429056
187	81866752
188	81866752
189	81866752
190	81866752
191	81866752
192	81866752
193	82395136
194	82395136
195	81866752
196	81866752
197	82395136
198	80818176
199	81342464
200	80818176
201	81870848
202	80818176
203	81866752
204	80818176
205	81866752
206	80818176
207	82395136
208	81346560
209	81866752
210	80818176
211	82395136
212	81346560
213	81866752
214	81346560
215	82395136
216	81346560
217	81866752
218	81346560
219	81866752
220	81346560
221	81866752
222	80818176
223	83447808
224	82927616
225	83456000
226	82399232
227	83456000
